Mon Feb 15 21:34:11 2021    output.dat

         3305284568 function calls (3264835398 primitive calls) in 7006.120 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      272 4170.871   15.334 4170.871   15.334 {method 'acquire' of '_thread.lock' objects}
  1855393  500.942    0.000  500.942    0.000 {pandas._libs.ops.scalar_compare}
        4  240.206   60.051  240.206   60.051 {built-in method time.sleep}
617298957/617298949  130.402    0.000  212.023    0.000 {built-in method builtins.isinstance}
7938356/7938350   63.368    0.000 1046.235    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/series.py:201(__init__)
243698908   56.120    0.000   79.458    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/generic.py:10(_check)
  5131968   49.077    0.000   89.121    0.000 /home/kd/anaconda3/lib/python3.7/_strptime.py:318(_strptime)
  5138276   44.982    0.000   72.511    0.000 {pandas._libs.lib.infer_dtype}
  2561867   39.880    0.000   59.386    0.000 {pandas._libs.lib.maybe_convert_objects}
  7922759   39.440    0.000  486.525    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/construction.py:389(sanitize_array)
354320707/354320701   37.081    0.000   37.637    0.000 {built-in method builtins.getattr}
 48466708   35.944    0.000   93.421    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1460(is_extension_array_dtype)
        1   34.682   34.682 2580.707 2580.707 /home/kd/Desktop/II rok bioinfa/Narzedzia/kacper/project/calculations.py:102(late_buses)
 16073829   34.147    0.000   82.408    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/numpy/core/_dtype.py:319(_name_get)
 48466710   33.547    0.000   46.947    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/base.py:413(find)
  7927946   32.298    0.000  188.966    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/internals/blocks.py:2647(get_block_type)
169637848/132975041   32.126    0.000   45.308    0.000 {built-in method builtins.len}
  4638587   29.532    0.000   32.162    0.000 {method 'astype' of 'numpy.ndarray' objects}
209406044   27.822    0.000   27.822    0.000 {built-in method builtins.issubclass}
 34404833   26.161    0.000   50.837    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:1600(_is_dtype_type)
  2563231   25.658    0.000  218.030    0.000 /home/kd/Desktop/II rok bioinfa/Narzedzia/kacper/project/calculations.py:19(time_diff)
 29972761   24.330    0.000   76.680    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/common.py:194(is_object_dtype)
 35010461   23.674    0.000   43.962    0.000 {pandas._libs.lib.is_list_like}
22391376/20533163   23.455    0.000   32.134    0.000 {built-in method numpy.array}
  2787297   23.450    0.000  145.177    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/algorithms.py:1586(take_nd)
  5360925   22.617    0.000   55.305    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:1179(maybe_castable)
  5138288   22.373    0.000  112.567    0.000 /home/kd/anaconda3/envs/alma/lib/python3.7/site-packages/pandas/core/dtypes/cast.py:1302(maybe_cast_to_datetime)
 55988147   22.242    0.000   26.197    0.000 {built-in method builtins.hasattr}
